mutant, misMatchPercentage, isSameDimensions, analysisTime
94, 0.26, true, 99
94, 0.77, true, 102
94, 0.26, true, 101
95, 0.79, true, 96
95, 0.26, true, 102
95, 0.77, true, 101
95, 0.26, true, 99
96, 0.79, true, 97
96, 0.26, true, 109
96, 0.77, true, 100
96, 0.26, true, 100
97, 44.61, true, 140
97, 93.29, true, 170
97, 90.44, true, 167
97, 93.07, true, 170
98, 96.47, true, 182
98, 99.99, true, 181
98, 90.58, true, 168
98, 93.07, true, 166
99, 99.86, true, 186
99, 93.44, true, 166
99, 90.44, true, 165
99, 93.07, true, 166
100, 99.86, true, 183
100, 93.44, true, 171
100, 90.44, true, 165
100, 93.07, true, 170
101, 0.80, true, 98
101, 0.26, true, 100
101, 0.77, true, 100
101, 0.26, true, 101
102, 0.26, true, 101
102, 0.26, true, 101
102, 0.77, true, 100
102, 0.26, true, 100
103, 0.26, true, 100
103, 0.26, true, 98
103, 0.77, true, 102
103, 0.26, true, 100
104, 96.47, true, 179
104, 99.99, true, 174
104, 90.58, true, 166
104, 93.07, true, 167
105, 0.80, true, 99
105, 0.26, true, 101
105, 0.77, true, 98
105, 0.26, true, 101
106, 0.26, true, 104
106, 0.26, true, 98
106, 0.77, true, 100
106, 0.26, true, 99
107, 0.26, true, 101
107, 0.26, true, 101
107, 0.77, true, 102
107, 0.26, true, 107
108, 0.26, true, 145
108, 0.26, true, 100
108, 86.35, true, 169
108, 93.07, true, 167
109, 0.26, true, 104
109, 0.26, true, 104
109, 74.63, true, 163
109, 93.07, true, 168
110, 0.26, true, 103
110, 0.26, true, 123
110, 87.32, true, 169
110, 93.07, true, 168
111, 99.86, true, 181
111, 93.44, true, 165
111, 90.44, true, 167
111, 93.07, true, 168
112, 0.26, true, 102
112, 0.26, true, 100
112, 0.77, true, 100
112, 0.26, true, 103
113, 0.80, true, 97
113, 0.26, true, 104
113, 0.77, true, 100
113, 0.26, true, 101
114, 0.25, true, 105
114, 0.25, true, 116
114, 0.77, true, 99
114, 0.25, true, 100
115, 0.79, true, 97
115, 0.25, true, 102
115, 0.77, true, 101
115, 0.25, true, 104
116, 0.25, true, 107
116, 0.25, true, 101
116, 0.77, true, 104
116, 0.25, true, 100
117, 0.79, true, 99
117, 0.25, true, 102
117, 0.77, true, 106
117, 0.25, true, 103
118, 0.80, true, 100
118, 0.24, true, 101
118, 0.76, true, 99
118, 0.24, true, 103
119, 0.25, true, 105
119, 0.24, true, 101
119, 0.76, true, 103
119, 0.24, true, 100
120, 0.80, true, 98
120, 0.24, true, 100
120, 0.76, true, 101
120, 0.24, true, 104
121, 0.80, true, 104
121, 0.24, true, 107
121, 0.76, true, 101
121, 0.24, true, 102
122, 0.80, true, 101
122, 0.25, true, 101
122, 0.77, true, 98
122, 0.25, true, 102
123, 0.25, true, 103
123, 0.25, true, 104
123, 0.77, true, 103
123, 0.25, true, 99
124, 0.80, true, 100
124, 83.94, true, 175
124, 90.44, true, 167
124, 93.07, true, 167
125, 0.80, true, 101
125, 80.22, true, 172
125, 90.44, true, 163
125, 93.07, true, 166
126, 0.80, true, 97
126, 0.26, true, 100
126, 0.77, true, 99
126, 0.26, true, 100
127, 0.26, true, 104
127, 0.26, true, 100
127, 0.77, true, 100
127, 0.26, true, 100
128, 0.26, true, 101
128, 0.26, true, 101
128, 0.77, true, 101
128, 0.26, true, 102
129, 0.80, true, 97
129, 0.26, true, 104
129, 0.77, true, 99
129, 0.26, true, 104
130, 0.26, true, 101
130, 0.26, true, 102
130, 0.77, true, 100
130, 0.26, true, 101
131, 0.26, true, 102
131, 0.26, true, 100
131, 0.77, true, 102
131, 0.26, true, 101
132, 99.86, true, 179
132, 93.43, true, 166
132, 90.44, true, 166
132, 93.07, true, 166
133, 0.80, true, 96
133, 0.26, true, 103
133, 0.77, true, 99
133, 0.26, true, 100
134, 0.25, true, 101
134, 0.26, true, 101
134, 0.77, true, 99
134, 0.26, true, 102
135, 0.25, true, 105
135, 0.26, true, 104
135, 0.77, true, 99
135, 0.26, true, 103
136, 0.25, true, 110
136, 0.26, true, 102
